ingredient_name,category,flavor_profile,cuisine
tomato,vegetable,umami,Indian
onion,vegetable,savory,Global
potato,vegetable,neutral,Global
garlic,spice,strong,Asian
carrot,vegetable,sweet,Global
beans,vegetable,neutral,Global
oil,pantry,neutral,Global
salt,pantry,neutral,Global
pepper,spice,neutral,Global
soy sauce,pantry,umami,Asian
chicken,protein,savory,Global
egg,protein,neutral,Global
fish,protein,umami,Global
prawn,protein,sweet,Asian
mutton,protein,savory,Indian
butter,dairy,rich,Global
pasta,grain,neutral,Italian
basil,herb,sweet,Italian
rice,grain,neutral,Asian
ginger,spice,warm,Asian
turmeric,spice,earthy,Indian
coconut,pantry,sweet,Asian
