recipe_name,cuisine,difficulty,ingredients,diet,steps
Tomato Onion Curry,Indian,Easy,"tomato,onion,garlic,oil,salt","Vegetarian,Jain","Chop tomato and onion.|Heat oil in a pan.|Saute onion and garlic.|Add tomato and cook until soft.|Season and simmer for 5 minutes."
Garlic Potato Fry,Indian,Easy,"potato,garlic,oil,salt,pepper","Vegetarian,Vegan,Jain,High Protein","Boil or parboil potatoes.|Heat oil in a pan.|Add garlic and potato.|Season with salt and pepper.|Roast until golden."
Vegetable Stir Fry,Asian,Medium,"onion,garlic,carrot,beans,soy sauce","Vegetarian,Vegan","Slice all vegetables evenly.|Heat a pan or wok.|Add garlic and onion first.|Add remaining vegetables and stir fry.|Finish with soy sauce."
Tomato Basil Pasta,Italian,Easy,"tomato,garlic,oil,salt,pasta,basil","Vegetarian,Vegan","Cook pasta. Heat oil, add garlic.|Add chopped tomato and basil.|Toss with pasta and serve."
Potato Tomato Curry,Indian,Medium,"potato,tomato,onion,garlic,oil,salt","Vegetarian,Vegan","Boil potato. Heat oil, saute onion and garlic.|Add tomato, cook until soft.|Add potato, salt, simmer 10 minutes."
Bean Tomato Curry,Indian,Medium,"beans,tomato,onion,garlic,oil,salt","Vegetarian,Vegan","Soak beans if needed. Heat oil.|Saute onion and garlic.|Add tomato and beans, cook 15 minutes."
Garlic Butter Potato,Indian,Easy,"potato,garlic,butter,salt,pepper","Vegetarian,High Protein","Boil potato. Melt butter, add garlic.|Toss potato in garlic butter.|Season with salt and pepper."
Mixed Vegetable Curry,Indian,Medium,"potato,carrot,beans,tomato,onion,garlic,oil,salt","Vegetarian,Vegan","Chop all vegetables. Heat oil.|Saute onion and garlic.|Add vegetables and tomato.|Simmer 20 minutes until tender."
Stir Fried Rice,Asian,Easy,"rice,onion,carrot,garlic,soy sauce,oil","Vegetarian,Vegan","Cook rice. Heat oil in wok.|Add garlic and onion.|Add carrot, then rice and soy sauce."
Chicken Curry,Indian,Medium,"chicken,tomato,onion,garlic,oil,salt,ginger,turmeric","Non-Vegetarian,High Protein","Marinate chicken. Heat oil, saute onion and garlic.|Add ginger, turmeric, tomato.|Add chicken and salt, simmer 20 minutes."
Egg Curry,Indian,Easy,"egg,tomato,onion,garlic,oil,salt,turmeric","Non-Vegetarian,High Protein","Boil eggs, peel. Heat oil, saute onion and garlic.|Add tomato and turmeric.|Add halved eggs, simmer 5 minutes."
Fish Fry,Indian,Easy,"fish,garlic,oil,salt,pepper,turmeric","Non-Vegetarian,High Protein","Marinate fish with salt, pepper, turmeric.|Heat oil in pan.|Fry fish until golden on both sides."
Chicken Stir Fry,Asian,Medium,"chicken,onion,garlic,carrot,soy sauce,oil","Non-Vegetarian,High Protein","Slice chicken. Heat oil in wok.|Add garlic and onion.|Add chicken, then carrot and soy sauce.|Stir fry until done."
Prawn Curry,Indian,Medium,"prawn,tomato,onion,garlic,oil,salt,coconut,turmeric","Non-Vegetarian,High Protein","Clean prawns. Heat oil, saute onion and garlic.|Add tomato, coconut, turmeric.|Add prawns, cook 5-7 minutes."
Egg Fried Rice,Asian,Easy,"egg,rice,onion,garlic,soy sauce,oil","Non-Vegetarian,High Protein","Cook rice. Scramble egg in oil, set aside.|Stir fry onion and garlic.|Add rice, egg, soy sauce. Toss."
